,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,cluster
0,1,p1,50.131,40.6929,53.9336,29.7853,0.8219144724361532,1.4252111234227731,25.0,1.0,1,2
1,1,p2,48.6175,40.335,52.8145,24.5927,1.5310330630002738,1.9240180046563733,29.0,9.0,1,1
2,1,p55,53.1437,30.4864,48.45399999999999,41.4291,0.940012053114214,1.6241927297668464,21.0,2.0,1,2
3,1,p83,64.5442,36.4588,59.8095,45.7972,0.6819681664124799,1.1478311431992223,26.0,1.0,1,0
4,1,p84,65.2087,36.0438,60.4089,46.2123,0.6973640799467664,1.1735583283148263,26.0,1.0,1,1
5,1,p85,64.5348,35.3247,59.553,45.5126,1.0879830881038548,1.224455341302462,29.0,3.0,1,1
6,2,p91,69.717,38.9688,58.1543,45.0567,1.1164041248580194,1.3710911449889678,80.0,52.0,1,0
7,2,p92,71.0087,39.1994,58.9901,45.6019,1.1005086324059434,1.4680980944060562,81.0,54.0,1,1
8,2,p93,70.3299,39.8687,59.5326,45.8997,0.8699513204771863,1.4700485365356943,81.0,56.0,1,4
9,3,p94,65.5427,35.8089,58.8997,45.5299,1.1486699961259543,1.386504467169571,94.0,74.0,1,1
10,3,p95,66.124,35.5369,58.918,45.042,1.1599554517307982,1.317723715972945,95.0,74.0,1,1
11,3,p96,66.6975,35.6573,58.8481,45.1859,1.2359481097521854,1.3777934867504078,96.0,74.0,1,2
12,3,p133,58.0206,43.4255,64.9158,36.4078,0.5663003619988248,1.0245217103633941,118.0,80.0,1,4
13,3,p134,57.5141,42.9191,63.09,36.03,0.2426860111337281,1.056756753335595,123.0,82.0,1,2
14,4,p136,57.6834,43.1069,66.1727,37.0146,0.4729291913172626,1.1491963480741445,121.0,95.0,1,2
15,5,p4,51.114,40.5523,53.4047,25.7137,1.1909373829047436,1.8160625682780045,139.0,119.0,1,4
16,5,p5,48.4531,40.6397,50.2348,27.1295,0.9431356742272026,1.693646787125641,142.0,120.0,1,1
17,5,p6,50.0058,41.426,51.4541,25.6084,1.0218082109672049,1.6851064142255632,144.0,120.0,1,3
18,5,p7,50.0225,41.3645,56.4173,34.1724,1.0723044810127391,1.8188283072116556,139.0,125.0,1,4
19,5,p8,49.9837,40.425,56.0708,33.9706,1.0553680163810155,1.8130032578102715,139.0,126.0,1,1
20,6,p57,54.1913,29.705,49.2679,41.2152,0.8524375930236769,1.2595015548320867,159.0,132.0,1,4
21,6,p58,53.5402,28.9162,48.7107,40.1995,1.1535969226727334,1.1740023446901713,158.0,131.0,1,2
22,7,p11,42.4714,37.4477,42.1851,21.0365,1.2191346849302582,1.3573810618388245,187.0,145.0,1,0
23,8,p23,48.3348,39.8961,53.53,26.1864,1.4204265732518524,1.8352692060285745,284.0,263.0,1,1
24,8,p24,47.6451,40.0983,52.6766,25.7241,1.37505791150773,1.9032221201245512,284.0,263.0,1,4
25,8,p61,53.6658,28.4073,52.1876,40.6494,1.569202459850226,1.654000554189485,289.0,271.0,1,1
26,9,p112,63.8124,35.3201,58.7203,45.2664,0.5066727247444843,0.9647339539049392,369.0,326.0,1,2
27,9,p113,62.997,34.8917,60.1761,44.0416,0.8342806781893009,0.940870783284037,361.0,324.0,1,2
28,9,p114,79.7132,46.6176,66.0055,49.3064,1.914184714179904,1.93146545338656,351.0,330.0,1,0
29,10,p150,65.2913,48.8936,66.8251,36.5773,1.040306709581362,1.0964095463319832,423.0,356.0,1,4
30,10,p151,65.9065,47.9347,67.6077,37.0776,0.6044769639944934,1.050350237348115,422.0,358.0,1,2
31,11,p115,70.77600000000002,40.3887,57.3964,43.5314,1.2784070165639736,1.361416630916921,388.0,357.0,1,2
32,11,p116,62.9703,35.0795,60.3246,48.0455,1.154263821662968,1.3858594166256841,388.0,364.0,1,4
33,11,p117,63.652,34.5279,60.6882,46.6023,1.116670358700364,1.403879683609183,386.0,363.0,1,1
34,11,p152,61.6426,44.8628,68.8556,38.8998,0.0021095023109728986,1.1491057867986827,399.0,372.0,1,0
35,11,p153,60.9805,44.3899,67.9734,37.8583,0.004924428900898052,1.163966707337064,398.0,369.0,1,0
36,12,p118,69.1265,38.6776,65.0368,49.5269,0.5435437148932917,1.9313434381925283,416.0,391.0,1,0
37,12,p154,65.9866,50.0088,69.3952,37.8198,0.6665443196067311,1.3622292360669672,423.0,396.0,1,0
38,12,p155,66.9933,49.4688,70.2816,38.6805,0.6567704012819092,1.6852832417049275,421.0,398.0,1,1
39,13,p119,63.358,34.9801,57.3421,45.1742,1.0308475396488077,1.488714600015594,441.0,421.0,1,2
40,13,p120,63.6965,35.1697,58.8582,45.7315,0.9304697415821752,1.7491123339913517,438.0,421.0,1,1
41,13,p156,57.8088,43.9823,59.9047,35.3373,0.7930165319840438,2.330427605989036,423.0,412.0,1,4
42,13,p157,57.5876,43.4424,59.5397,35.9363,0.8920466467623764,2.3818588328252117,422.0,413.0,1,1
43,14,p119,63.358,34.9801,57.3421,45.1742,1.0308475396488077,1.488714600015594,441.0,421.0,1,2
44,14,p120,63.6965,35.1697,58.8582,45.7315,0.9304697415821752,1.7491123339913517,438.0,421.0,1,1
45,15,p63,52.9339,27.1918,47.6901,40.8662,1.3996078379317545,1.4069064988137698,471.0,442.0,1,3
46,16,p41,50.0263,40.5485,54.2127,27.066,1.0736705360584315,2.258914937063982,464.0,447.0,1,4
47,16,p42,46.8612,39.9235,49.6283,26.0485,1.1785238436281211,1.7200022989724837,466.0,445.0,1,0
48,16,p43,50.0413,41.3907,53.4466,28.1657,1.1684412907801571,1.900580231298788,468.0,450.0,1,2
49,16,p44,48.4323,41.0425,54.4917,26.1445,0.6288086592915209,1.6073650771326573,476.0,450.0,1,4
50,16,p45,48.2349,40.5071,54.0337,26.3604,0.6168415112490404,1.4313823782149653,478.0,449.0,1,1
51,16,p64,54.5846,28.8669,52.5558,40.2766,1.687998892179731,1.794803513201735,481.0,466.0,1,4
52,17,p66,54.1942,28.9128,49.487,41.5735,1.0623012049320095,1.6505133896981043,506.0,475.0,1,2
53,18,p121,64.4647,36.6719,60.1104,47.069,1.40148334631561,1.871233061127466,478.0,459.0,1,1
54,19,p66,54.1942,28.9128,49.487,41.5735,1.0623012049320095,1.6505133896981043,506.0,475.0,1,1
55,20,p46,47.6631,39.356,50.7122,24.8117,0.3980815243138017,1.830114573144769,525.0,500.0,1,1
56,20,p47,48.4422,40.1174,51.6772,25.1647,0.7189353030697546,1.7173138118932638,527.0,500.0,1,2
57,20,p48,48.3645,40.973,55.3867,29.665,0.7693077992585283,1.4748153637127184,528.0,505.0,1,0
58,20,p67,54.7676,30.4849,52.81800000000001,40.25,0.4716555098798274,1.2007020755676912,517.0,489.0,1,4
59,20,p68,54.9375,29.7782,51.7354,40.7512,1.2484275709867994,1.476774972311258,517.0,496.0,1,2
60,21,p160,61.9501,45.3412,67.0419,34.9672,0.1487231320272674,1.6180828629468265,549.0,517.0,1,3
61,22,p122,68.3845,38.0029,58.2769,44.8027,1.2119786961824042,1.3793437930656525,537.0,514.0,1,4
62,23,p49,48.1618,40.4662,50.8206,25.072,0.7824356075741953,1.30539674035949,559.0,526.0,1,0
63,23,p50,47.2283,40.1491,50.0858,24.2453,0.7502487654105137,1.4953028327367788,558.0,526.0,1,4
64,24,p70,53.8197,26.575,49.2478,40.8287,0.9926541442012924,1.0496264715032622,568.0,531.0,1,4
65,24,p71,54.0745,26.9216,50.357,39.9103,1.0479167237905882,1.0708731755146272,564.0,531.0,1,1
66,25,p49,48.1618,40.4662,50.8206,25.072,0.7824356075741953,1.30539674035949,559.0,526.0,1,0
67,25,p50,47.2283,40.1491,50.0858,24.2453,0.7502487654105137,1.4953028327367788,558.0,526.0,1,4
68,26,p161,73.1231,53.0881,67.5577,36.7903,1.424017935280311,1.8153241319568,552.0,527.0,1,2
69,26,p162,66.9526,49.2798,67.2909,35.4843,1.1254004442863883,1.7734865318477016,553.0,531.0,1,1
70,26,p163,66.7164,50.1,66.8976,34.5198,1.2989584327452517,1.7176720245991726,555.0,530.0,1,2
71,27,p51,50.2499,39.9201,53.1817,24.9228,1.1081762540318216,1.7677230004808415,575.0,553.0,1,2
72,27,p52,49.3001,41.1421,51.963,25.7808,1.0636178119982758,1.7339494466539749,573.0,550.0,1,1
73,28,p53,47.0862,39.8887,46.4618,22.151,0.8214692021007238,1.4140785263214477,601.0,567.0,1,2
74,28,p54,46.1625,40.1041,45.3433,23.2758,0.834124049527407,1.4493831559545811,600.0,567.0,1,0
75,29,p225,41.1,20.4288,28.4111,27.337,0.6036998012257416,1.3497004053456596,632.0,600.0,1,2
76,29,p226,38.6972,19.3151,25.2537,24.7825,1.4623909361042964,1.5313623458653791,631.0,603.0,1,1
77,30,p228,31.0093,13.5491,29.1317,27.941,2.1281937529275847,2.174288348760609,689.0,668.0,1,3
78,31,p177,42.4915,36.3709,41.9355,17.8737,1.1252204628427267,1.9318800565131653,707.0,673.0,1,2
79,32,p183,50.2952,41.28100000000001,58.20015356842218,32.565140131717285,1.1714365753210885,2.209021180993897,717.0,707.0,1,1
80,32,p184,50.9446,41.0721,58.8539633308648,33.18625808618892,1.1324757392544886,2.2524253802986927,717.0,708.0,1,1
81,33,p188,44.6879,38.0463,48.9146,25.3002,1.6238268934834157,1.999502783526434,774.0,750.0,1,4
82,34,p189,48.6171,40.7565,55.639443146863705,27.326677048524278,0.9924755412603375,1.138432135939068,794.0,750.0,1,1
83,34,p191,48.5421,40.0582,56.547237685917594,28.15591846513729,1.1982804346228808,1.5534809551426836,792.0,770.0,1,1
84,34,p192,50.6303,40.8018,56.848078235759324,33.69924711836013,1.4893491531538197,1.7259472178102366,790.0,779.0,1,2
85,35,p193,52.227,40.5194,56.66956297901202,33.467881641391436,0.6796131325982451,0.997019533666917,804.0,785.0,1,4
86,35,p194,49.2882,40.29,55.12293070724693,28.568270263032478,1.4797378044775369,1.808328219470032,808.0,793.0,1,1
87,36,p193,52.227,40.5194,55.8591,34.7543,0.6796131325982451,0.997019533666917,804.0,785.0,1,3
88,37,p197,49.7677,40.8681,55.313,29.1564,1.059816531292091,1.734220827886193,827.0,805.0,1,1
89,38,p292,68.05199999999999,36.3402,67.2396,49.8982,1.2043197997209878,1.6111195864765433,809.0,785.0,1,0
